as_tags,type
"['NNP', 'NN', 'IN', 'PRP', '.']",present simple
"['VB', 'PRP$', 'NN', '.']",present simple
"['VBP', 'RB', 'VB', 'PRP', '.']",present simple
"['VBP', 'PRP', 'VB', 'PRP', '.']",present simple
"['NNP', 'PRP', 'IN', '.']",present simple
"['NNP', 'PRP', 'IN', '.']",present simple
"['VB', 'PRP', 'NN', '.']",present simple
"['VBP', 'RB', 'VB', 'DT', 'NN', 'IN', 'PRP', '.']",present simple
"['VB', 'RB', 'TO', 'VB', 'PRP', 'JJ', '.']",present simple
"['PRP', 'VBP', 'PRP$', 'RB', 'JJ', '.']",present simple
"['VB', 'PRP', 'WRB', 'PRP', 'VBZ', '.']",present simple
"['NNP', 'PRP', 'WP', 'PRP', 'VBZ', 'VBN', '.']",present simple
"['NNP', 'PRP', 'WP', 'PRP', 'VBD', '.']",present simple
"['NNP', 'PRP', 'IN', 'PRP', 'VBZ', 'IN', 'NN', 'CC', 'RB', '.']",present simple
"['PRP', 'VBZ', 'PRP', 'JJ', '.']",present simple
"['VB', 'PRP$', 'DT', 'NN', 'WRB', 'PRP', 'VBZ', '.']",present simple
"['PRP', 'VBZ', 'RB', 'VBN', '.']",present simple
"['VB', 'PRP', 'DT', 'NN', 'WRB', 'PRP', 'VBD', 'PRP', '.']",present simple
"['NNP', 'PRP', 'WRB', 'JJ', 'NN', 'PRP', 'VBZ', '.']",present simple
"['PRP', 'VBZ', 'CD', 'JJR', 'NNS', '.']",present simple
"['PRP', 'VBZ', 'JJ', '.']",present simple
"['VBP', 'RB', 'VB', 'TO', 'VB', 'DT', 'NN', 'TO', 'VB', 'TO', 'PRP$', '.']",present simple
"['PRP', 'VBP', 'VBG', 'PRP$', 'NN', '.']",present simple
"['NNP', 'PRP', 'WRB', 'PRP', 'MD', 'VB', 'RB', '.']",present simple
"['VBP', 'RB', 'VB', 'PRP', 'IN', 'PRP', '.']",present simple
"['VB', 'PRP', 'DT', 'NN', '.']",present simple
"['VB', 'PRP', 'TO', 'VB', 'IN', 'NN', '.']",present simple
"['VBP', 'RB', 'VB', 'IN', 'PRP', 'VBZ', 'VBN', 'IN', 'NN', '.']",present simple
"['VB', 'PRP', 'VB', 'PRP', '.']",present simple
"['VB', 'TO', 'VB', 'IN', 'PRP', 'JJ', 'NN', 'CC', 'PRP', 'MD', 'VB', 'IN', 'JJ', 'NN', '.']",present simple
"['NNP', 'JJ', 'TO', 'PRP$', '.']",present simple
"['VB', 'NN', 'TO', 'PRP$', ',', 'NNP', '.']",present simple
"['PRP', 'VBZ', 'JJ', '.']",present simple
"['VBP', 'RB', 'VB', 'IN', 'PRP$', 'NN', '.']",present simple
"['VBP', 'RB', 'VB', 'IN', 'PRP$', 'NNS', '.']",present simple
"['PRP$', 'NNP', 'VBZ', 'JJ', '.']",present simple
"['VBP', 'RB', 'VB', 'PRP$', 'NNS', '.']",present simple
"['VBP', 'RB', 'VB', 'TO', 'PRP$', '.']",present simple
"['PRP$', 'NN', 'VBZ', 'JJ', '.']",present simple
"['PRP', 'MD', 'RB', 'VB', 'PRP', '.']",present simple
"['PRP$', 'NN', 'VBZ', 'CD', 'NNS', 'JJ', '.']",present simple
"['NNP', 'RB', 'VB', 'PRP', '.']",present simple
"['VBP', 'RB', 'VB', 'PRP', '.', 'PRP', 'VBZ', 'IN', 'NN', 'RB', 'RB', '.']",present simple
"['PRP', 'VBP', 'PRP$', 'NN', '.']",present simple
"['VBP', 'RB', 'VB', 'PRP', 'VB', 'PRP$', 'NN', '.']",present simple
"['NNP', 'TO', 'VB', 'PRP$', 'JJ', 'NN', '.']",present simple
"['PRP$', 'NN', 'VBZ', 'DT', 'NN', '.']",present simple
"['NNP', 'NN', 'IN', 'PRP$', 'NN', '.']",present simple
"['VB', 'PRP', 'DT', 'NN', 'WRB', 'PRP', 'VBD', 'JJ', '.']",present simple
"['PRP$', 'NN', 'VBZ', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'JJ', 'NN', '.']",present simple
"['PRP$', 'NNS', 'VB', 'RB', 'RB', '.']",present simple
"['PRP', 'VBP', 'PRP$', 'IN', 'NN', '.']",present simple
"['VB', 'TO', 'VB', 'DT', 'NN', 'IN', 'PRP$', 'NN', 'IN', 'NN', '.']",present simple
"['VBZ', 'PRP$', 'NN', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'NN', '.']",present simple
"['PRP', 'VBZ', 'DT', 'NN', '.']",present simple
"['PRP', 'VBZ', 'JJ', 'IN', 'VBG', 'NNP', '.']",present simple
"['PRP', 'VBZ', 'DT', 'NN', '.']",present simple
"['PRP', 'NNS', 'NNS', '.']",present simple
"['PRP', 'VBZ', 'DT', 'RBS', 'JJ', 'NN', '.']",present simple
"['PRP', 'VBZ', 'VBN', 'NNS', '.']",present simple
"['PRP', 'VBZ', 'JJ', '.']",present simple
"['VBZ', 'PRP', 'PRP$', 'NN', '.']",present simple
"['PRP', 'VBZ', 'JJ', 'IN', 'PRP', '.']",present simple
"['PRP', 'VBZ', 'RBR', 'JJ', 'IN', 'PRP', '.']",present simple
"['PRP', 'VBZ', 'RB', 'JJ', 'NNS', '.']",present simple
"['VBP', 'RB', 'VB', 'PRP$', 'IN', 'PRP', 'RB', 'VBZ', '.']",present simple
"['PRP', 'VBZ', 'RB', 'RB', 'VBN', '.']",present simple
"['PRP', 'RB', 'VBZ', 'JJ', 'NNS', '.']",present simple
"['PRP', 'VBZ', 'JJ', 'IN', 'IN', 'NN', '.']",present simple
"['PRP', 'VBZ', 'RB', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'RB', '.']",present simple
"['PRP', 'VBZ', 'RB', 'VBN', '.']",present simple
"['PRP', 'VBZ', 'JJ', 'TO', 'VB', '.']",present simple
"['PRP', 'VBZ', 'DT', 'JJ', 'NN', '.']",present simple
"['PRP', 'VBZ', 'RB', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'IN', 'PRP$', 'NN', '.']",present simple
"['PRP', 'VBZ', 'DT', 'NN', '.']",present simple
"['PRP', 'VBZ', 'RB', '.']",present simple
"['PRP', 'VBZ', 'DT', 'JJ', 'NN', '.']",present simple
"['PRP', 'VBZ', 'DT', 'JJ', 'NN', 'NN', '.']",present simple
"['PRP', 'VBZ', 'NN', 'RB', 'RB', '.']",present simple
"['PRP', 'VBZ', 'JJ', 'IN', 'VBG', 'NN', '.']",present simple
"['PRP', 'VBZ', 'RB', 'RB', '.']",present simple
"['PRP', 'VBZ', 'JJ', 'CC', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'RB', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'RB', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'RB', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'RB', 'JJ', 'IN', 'NNP', '.']",present simple
"['PRP', 'VBZ', 'NNP', 'POS', 'NN', '.']",present simple
"['PRP', 'VBZ', 'JJR', 'IN', 'NNP', '.']",present simple
"['PRP', 'VBZ', 'NNP', '.']",present simple
"['PRP', 'VBZ', 'NNS', '.']",present simple
"['PRP', 'VBZ', 'NNS', '.']",present simple
"['PRP', 'VBZ', 'JJ', 'IN', 'NNS', '.']",present simple
"['PRP', 'VBZ', 'VBG', '.']",present simple
"['PRP', 'VBZ', 'DT', 'NN', '.']",present simple
"['PRP', 'VBZ', 'JJ', 'NNS', '.']",present simple
"['PRP', 'VBZ', 'JJ', 'IN', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'NNP', '.']",present simple
"['PRP', 'VBZ', 'RB', 'RB', 'RB', '.']",present simple
"['PRP', 'RB', 'VBZ', 'RP', '.']",present simple
"['VBZ', 'PRP', 'RB', 'RB', '.']",present simple
"['PRP', 'VBZ', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'JJ', 'TO', 'VB', '.']",present simple
"['PRP', 'VBZ', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'NN', '.']",present simple
"['VBZ', 'PRP', 'DT', 'NN', '.']",present simple
"['PRP', 'VBZ', 'DT', 'JJ', 'NN', '.']",present simple
"['PRP', 'NNS', 'NNP', '.']",present simple
"['PRP', 'VBZ', 'DT', 'JJ', 'NN', '.']",present simple
"['PRP', 'VBZ', 'NN', '.']",present simple
"['PRP', 'VBZ', 'DT', 'NN', 'IN', 'NN', '.']",present simple
"['PRP', 'VBZ', 'RB', 'VB', 'TO', 'VB', 'NN', 'JJ', '.']",present simple
"['VBZ', 'PRP', 'IN', 'NN', '.']",present simple
"['PRP', 'VBZ', 'RB', '.']",present simple
"['PRP', 'VBZ', 'VBN', 'IN', 'DT', 'NN', '.']",present simple
"['PRP', 'VBZ', 'DT', 'NN', '.']",present simple
"['PRP', 'VBD', 'NNS', '.']",present simple
"['PRP', 'VBZ', 'DT', 'NN', '.']",present simple
"['PRP', 'VBZ', 'VBN', 'IN', 'DT', 'NN', '.']",present simple
"['PRP', 'VBZ', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'IN', 'DT', 'NN', '.']",present simple
"['PRP', 'VBZ', 'NN', 'CC', 'NN', 'VBP', 'DT', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'IN', 'DT', 'NN', '.']",present simple
"['VBZ', 'PRP', 'VBD', '.']",present simple
"['PRP', 'VBZ', 'RB', 'VBN', '.']",present simple
"['PRP', 'VBZ', 'DT', 'NN', '.']",present simple
"['PRP', 'VBZ', 'JJ', '.']",present simple
"['PRP', 'VBP', 'RB', 'VB', 'PRP', 'VBZ', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'IN', 'PRP', 'VBZ', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'RB', 'RB', 'RB', '.']",present simple
"['PRP', 'VBZ', 'IN', 'PRP$', 'NN', 'RB', '.']",present simple
"['PRP', 'VBZ', 'RB', 'RB', '.']",present simple
"['PRP', 'VBZ', 'RB', 'VBG', '.']",present simple
"['PRP', 'VBZ', 'IN', 'NN', 'NN', '.']",present simple
"['PRP', 'VBZ', 'JJ', 'IN', 'PRP$', 'NN', '.']",present simple
"['PRP', 'VBZ', 'IN', 'NN', ',', 'VBZ', 'RB', 'PRP', '.']",present simple
"['PRP', 'VBZ', 'RB', 'JJ', 'IN', 'PRP', '.']",present simple
"['PRP', 'VBZ', 'PRP$', 'NN', '.']",present simple
"['PRP', 'VBZ', 'PRP$', 'NN', '.']",present simple
"['PRP', 'VBZ', 'PRP', '.']",present simple
"['PRP', 'VBZ', 'PRP', '.']",present simple
"['PRP', 'VBZ', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'DT', 'RB', 'JJ', 'NN', '.']",present simple
"['PRP', 'VBZ', 'DT', 'NN', '.']",present simple
"['PRP', 'VBZ', 'RB', 'JJ', 'IN', 'NNS', '.']",present simple
"['PRP', 'VBZ', 'RB', 'JJ', ',', 'VBZ', 'PRP', '.']",present simple
"['PRP', 'VBZ', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'IN', 'TO', 'VB', '.']",present simple
"['PRP', 'VBZ', 'IN', 'NN', 'IN', 'NN', '.']",present simple
"['PRP', 'VBZ', 'JJ', 'IN', 'DT', 'NN', '.']",present simple
"['PRP', 'VBZ', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'IN', 'DT', 'NN', '.']",present simple
"['PRP', 'VBZ', 'DT', 'JJ', 'NN', '.']",present simple
"['PRP', 'VBZ', 'DT', 'NN', 'NN', '.']",present simple
"['PRP', 'VBZ', 'NN', '.']",present simple
"['PRP', 'VBZ', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'JJ', 'IN', 'NNS', '.']",present simple
"['PRP', 'VBZ', 'JJ', 'TO', 'NN', '.']",present simple
"['PRP', 'VBZ', 'RB', 'JJ', 'CC', 'NN', '.']",present simple
"['PRP', 'VBZ', 'JJ', 'NNS', '.']",present simple
"['PRP', 'VBZ', 'JJ', 'NN', '.']",present simple
"['PRP', 'VBZ', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'DT', 'NN', '.']",present simple
"['PRP', 'VBZ', 'DT', 'NN', '.']",present simple
"['PRP', 'VBZ', 'DT', 'NN', '.']",present simple
"['PRP', 'VBZ', 'VBG', '.']",present simple
"['PRP', 'VBZ', 'DT', 'NN', '.']",present simple
"['PRP', 'VBZ', 'DT', 'NN', 'NN', '.']",present simple
"['PRP', 'VBZ', 'RB', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'NN', 'IN', 'DT', 'NN', '.']",present simple
"['PRP', 'VBZ', 'RB', 'NN', '.']",present simple
"['PRP', 'VBZ', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'NNS', '.']",present simple
"['PRP', 'VBZ', 'NN', 'IN', 'NNS', '.']",present simple
"['PRP', 'VBZ', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'CD', 'NN', 'NNS', '.']",present simple
"['PRP', 'VBZ', 'IN', 'JJ', 'NNS', 'NN', '.']",present simple
"['PRP', 'NNS', 'RB', '.']",present simple
"['PRP', 'VBZ', 'NN', 'TO', 'JJ', 'NNS', '.']",present simple
"['PRP', 'VBZ', 'PRP$', 'JJ', 'NN', '.']",present simple
"['PRP', 'VBZ', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'VBG', 'DT', 'NN', '.']",present simple
"['PRP', 'VBZ', 'DT', 'NN', '.']",present simple
"['PRP', 'VBZ', 'DT', 'RB', 'NN', '.']",present simple
"['PRP', 'VBZ', 'RB', '.']",present simple
"['PRP', 'VBZ', 'TO', 'VB', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'RB', 'JJ', 'IN', 'NN', '.']",present simple
"['PRP', 'RB', 'VBZ', 'PRP$', 'NN', '.']",present simple
"['PRP', 'VBZ', 'IN', 'PRP$', 'NN', '.']",present simple
"['PRP', 'VBZ', 'RB', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'DT', 'JJ', 'NN', '.']",present simple
"['PRP', 'VBZ', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'NN', 'IN', 'NN', '.']",present simple
"['PRP', 'VBZ', 'DT', 'JJ', 'NN', '.']",present simple
"['PRP', 'VBZ', 'DT', 'JJ', 'NN', '.']",present simple
"['PRP', 'VBZ', 'RB', '.']",present simple
"['PRP', 'VBZ', 'DT', 'JJ', 'NN', '.']",present simple
"['PRP', 'VBP', 'RB', '.']",present simple
"['VBP', 'RB', 'VB', 'TO', 'VB', 'PRP$', 'TO', 'PRP', '.']",present simple
"['VB', 'PRP', 'IN', 'NN', '.']",present simple
"['NNP', 'CC', 'VB', 'PRP$', 'RP', '.']",present simple
"['VB', 'PRP', 'VB', 'PRP', '.']",present simple
"['PRP', 'VBZ', 'IN', 'DT', 'NN', '.']",present simple
"['PRP', 'VBP', 'IN', 'NN', '.']",present simple
"['PRP', 'VBP', 'JJ', '.']",present simple
"['VBP', 'RB', 'VB', 'JJ', '.']",present simple
"['VB', 'PRP$', 'NNS', '.']",present simple
"['VBP', 'RB', 'VB', 'RB', 'JJ', 'TO', 'NN', '.']",present simple
"['VBP', 'RB', 'VB', 'RB', 'JJ', 'TO', 'NN', '.']",present simple
"['VB', 'DT', 'NN', '.']",present simple
"['VBP', 'RB', 'VB', 'DT', 'NN', 'IN', 'IN', 'DT', 'NN', '.']",present simple
"['DT', 'JJ', 'NN', '.']",present simple
"['VB', 'IN', 'NN', '.']",present simple
"['PRP', 'VBZ', 'DT', 'JJ', 'NN', '.']",present simple
"['NN', 'VBZ', 'CC', 'JJ', 'NN', '.']",present simple
"['NNP', 'VBZ', 'DT', 'NN', '.']",present simple
"['PRP', 'VBP', 'DT', 'JJ', 'NN', '.']",present simple
"['PRP$', 'NN', 'VBZ', 'JJ', '.']",present simple
"['VBP', 'RB', 'VB', 'PRP$', 'NN', '.']",present simple
"['PRP', 'VBP', 'DT', 'NN', 'NN', '.']",present simple
"['NNP', 'DT', 'JJ', 'IN', 'PRP$', 'NN', '.']",present simple
"['VB', 'JJ', 'TO', 'VB', 'TO', 'PRP', 'IN', 'CD', 'NNS', '.']",present simple
"['VB', 'JJ', 'TO', 'VB', 'DT', 'NN', '.']",present simple
"['VBP', 'RB', 'VB', 'TO', 'VB', 'PRP', 'RB', '.']",present simple
"['VB', 'JJ', 'TO', 'VB', 'RP', 'DT', 'NN', 'IN', 'PRP', 'VBP', 'TO', 'VB', '.']",present simple
"['VB', 'JJ', 'TO', 'VB', 'RP', 'DT', 'NN', '.']",present simple
"['VB', 'JJ', 'TO', 'VB', 'RP', 'DT', 'NN', 'NN', 'IN', 'NN', '.']",present simple
"['VBP', 'RB', 'VB', 'TO', 'VB', 'DT', 'NN', 'NN', '.']",present simple
"['VB', 'JJ', 'TO', 'NN', 'IN', 'PRP$', 'NN', 'IN', 'NN', '.']",present simple
"['PRP', 'VBP', 'RB', 'VB', 'PRP', '.']",present simple
"['NNP', 'RB', 'JJ', 'IN', 'PRP', 'VBP', '.']",present simple
"['VB', 'RB', 'TO', 'VB', 'JJR', 'NN', 'IN', 'VBZ', 'JJ', '.']",present simple
"['VBP', 'RB', 'VB', 'JJR', 'NN', 'IN', 'PRP', 'VBP', '.']",present simple
"['VB', 'DT', 'NN', 'IN', 'PRP$', 'NN', '.']",present simple
"['VBP', 'RB', 'VB', 'RB', '.', 'PRP', 'VBZ', 'VBG', 'RB', '.']",present simple
"['DT', 'NN', 'VBZ', 'IN', 'RB', '.']",present simple
"['NNP', 'NN', 'IN', 'DT', 'NN', 'VBP', 'RB', 'VBN', 'IN', '.']",present simple
"['VBP', 'RB', 'VB', 'RP', 'IN', 'PRP', 'RB', 'IN', 'PRP', 'VBZ', 'JJ', '.']",present simple
"['VBP', 'RB', 'VB', 'RP', 'IN', 'DT', 'NN', 'IN', 'PRP', 'VBZ', 'JJ', '.']",present simple
"['VBP', 'RB', 'VB', 'DT', 'NN', 'IN', 'PRP', 'VBZ', 'JJ', '.']",present simple
"['VBP', 'RB', 'VB', 'RP', 'IN', 'NNS', 'IN', 'PRP', 'VBP', 'JJ', '.']",present simple
"['RB', 'VBP', 'RP', 'IN', 'DT', 'NN', 'RB', 'IN', 'PRP', 'VBZ', 'JJ', '.']",present simple
"['VBP', 'RB', 'VB', 'RP', 'IN', 'JJ', 'NNS', '.']",present simple
"['VBP', 'RB', 'VB', 'RP', 'IN', 'DT', 'JJ', '.']",present simple
"['VBP', 'RB', 'VB', 'RP', 'IN', 'PRP', 'RB', 'IN', 'PRP', 'VBP', 'JJ', '.']",present simple
"['VBP', 'RB', 'VB', 'NNS', 'IN', 'PRP', 'VBP', 'JJ', '.']",present simple
"['VBP', 'RB', 'VB', 'VBN', 'IN', 'VBG', 'JJ', '.']",present simple
"['NNP', 'NN', 'IN', 'DT', 'JJ', 'NN', '.']",present simple
"['VBP', 'RB', 'VB', 'DT', 'NNS', '.']",present simple
"['WRB', 'JJ', 'VBZ', 'NNP', '.', 'NNP', '.']",present simple
"['NNP', 'RP', 'PRP$', 'NN', '.']",present simple
"['NNP', 'VBZ', 'NN', '.']",present simple
"['VB', 'PRP', 'IN', 'PRP$', 'NN', 'POS', 'NN', '.']",present simple
"['PRP$', 'NN', 'VBZ', 'IN', 'PRP$', 'NNS', '.']",present simple
"['PRP$', 'NN', 'NNS', '.']",present simple
"['PRP$', 'NN', 'VBZ', 'JJ', 'RB', 'RB', '.']",present simple
"['PRP$', 'NN', 'VBZ', 'DT', 'NN', '.']",present simple
"['PRP$', 'NN', 'VBZ', 'IN', '.']",present simple
"['PRP$', 'NN', 'VBZ', 'RP', '.']",present simple
"['PRP$', 'NN', 'VBZ', 'DT', 'RB', 'JJ', '.']",present simple
"['PRP$', 'NN', 'VBZ', 'RB', 'JJ', '.']",present simple
"['PRP$', 'NN', 'VBZ', 'JJ', '.']",present simple
"['VBP', 'RB', 'VB', 'IN', '.']",present simple
"['NN', 'PRP', 'TO', 'PRP$', 'NN', '.']",present simple
"['EX', 'VBZ', 'RB', 'JJ', 'RB', '.']",present simple
"['NNP', 'IN', 'DT', 'NN', 'IN', 'VBG', 'DT', 'NN', '.']",present simple
"['VB', 'PRP$', 'NNS', 'RP', 'IN', 'PRP', 'VBP', 'IN', 'DT', 'NN', '.']",present simple
"['NNP', 'IN', 'DT', 'NN', 'IN', 'DT', 'NN', '.']",present simple
"['VBP', 'RB', 'VB', 'VB', 'IN', 'DT', 'NN', '.']",present simple
"['NNP', 'IN', 'DT', 'NN', '.']",present simple
"['VB', 'DT', 'NN', 'IN', 'PRP', 'VBZ', '.']",present simple
"['RB', 'DT', 'NN', 'IN', 'PRP', 'WRB', 'PRP', 'VBP', 'DT', 'NN', '.']",present simple
"['VB', 'JJ', 'TO', 'VB', 'RP', 'DT', 'NN', 'WRB', 'PRP', 'VBP', 'DT', 'NN', '.']",present simple
"['VB', 'RP', 'DT', 'NNS', 'WRB', 'PRP', 'VBP', 'DT', 'NN', '.']",present simple
"['VB', 'PRP$', 'NN', 'NN', '.']",present simple
"['NNP', 'RP', 'DT', 'NN', '.']",present simple
"['VB', 'PRP$', 'NN', 'IN', 'NN', '.']",present simple
"['NNP', 'DT', 'NN', 'IN', 'DT', 'NN', '.']",present simple
"['NNP', 'DT', 'NN', 'IN', 'DT', 'NN', '.']",present simple
"['PRP', 'VBP', 'DT', 'NN', '.']",present simple
"['DT', 'NN', 'VBD', 'JJR', '.']",present simple
"['PRP', 'VBZ', 'DT', 'JJ', 'NN', '.']",present simple
"['PRP', 'VBZ', 'RB', 'DT', 'NN', '.']",present simple
"['VBP', 'RB', 'VB', 'DT', 'NN', '.']",present simple
"['NNS', 'VBP', 'JJ', '.']",present simple
"['NNP', 'NNS', 'IN', 'NN', 'NNP', 'TO', 'VB', 'VBG', 'JJ', '.']",present simple
"['VB', 'DT', 'NN', 'CC', 'RB', 'VB', 'TO', 'NN', '.']",present simple
"['VB', 'RP', ',', 'CC', 'PRP', 'MD', 'VB', 'VBN', '.']",present simple
"['NNP', 'VBN', 'CC', 'VBN', 'NNS', '.']",present simple
"['VB', 'PRP$', 'NNS', '.']",present simple
"['VB', 'PRP$', 'NNS', 'RB', '.']",present simple
"['VBP', 'RB', 'VB', 'PRP$', 'NN', '.']",present simple
"['VBP', 'RB', 'VB', 'JJ', '.']",present simple
"['VB', 'DT', 'NN', 'IN', 'DT', 'JJ', 'NN', '.']",present simple
"['VB', 'NNS', 'IN', 'PRP', 'VBP', '.']",present simple
"['VBP', 'RB', 'VB', 'NNS', 'NN', 'VBN', '.']",present simple
"['VB', 'NNS', 'IN', 'PRP', 'VBP', '.']",present simple
"['VB', 'TO', 'VB', 'NNS', 'IN', 'PRP', '.']",present simple
"['NNS', 'VBZ', 'PRP$', 'JJ', 'NN', '.']",present simple
"['VBP', 'PRP', 'VB', 'PRP', '.']",present simple
"['VB', 'PRP', 'WRB', 'PRP', 'VBP', 'IN', 'NN', '.']",present simple
"['NNP', 'DT', 'NN', 'IN', 'CD', 'NNS', '.']",present simple
"['NN', 'VBZ', 'NN', '.']",present simple
"['VBP', 'RB', 'VB', '.']",present simple
"['VBP', 'RB', 'VB', '.', 'PRP', 'VBP', 'TO', 'VB', '.']",present simple
"['NNP', 'NN', 'CC', 'VB', 'IN', 'PRP', 'VBP', 'VBN', '.']",present simple
"['VBP', 'RB', 'VB', 'NN', 'PRP', 'VBP', '.']",present simple
"['VB', 'TO', 'DT', '.']",present simple
"['VBP', 'RB', 'VB', '.']",present simple
"['PRP', 'VBP', 'DT', 'NNS', '.']",present simple
"['VBP', 'RB', 'VB', 'RP', 'DT', 'NN', '.']",present simple
"['VB', 'DT', 'NN', 'IN', 'DT', 'NN', '.']",present simple
"['VB', 'TO', 'VB', 'IN', 'JJ', 'NNP', '.']",present simple
"['PRP$', 'NN', 'VBZ', 'JJ', '.']",present simple
"['NNP', 'IN', 'NN', ',', 'NN', '.']",present simple
"['DT', 'NN', 'VBD', 'VBN', '.']",present simple
"['NN', 'IN', 'DT', 'NN', 'IN', 'DT', 'NN', 'RB', '.']",present simple
"['NN', 'IN', 'DT', 'NN', 'IN', 'DT', 'NN', '.']",present simple
"['NNP', 'PRP', 'DT', 'NN', '.']",present simple
"['VB', 'PRP', 'VB', 'PRP', 'DT', 'CD', '.']",present simple
"['NNP', 'PRP', 'DT', 'NN', '.']",present simple
"['NNP', 'PRP', 'DT', 'NN', '.']",present simple
"['VB', 'PRP', 'DT', 'NN', '.']",present simple
"['NNP', 'PRP', 'DT', 'NN', '.']",present simple
"['PRP', 'VBP', 'DT', 'NN', '.']",present simple
"['VBZ', 'NN', 'NNP', '.']",present simple
"['PRP', 'VBP', 'DT', 'NN', '.']",present simple
"['NN', 'TO', 'PRP', '.']",present simple
"['VB', 'IN', 'NN', '.']",present simple
"['PRP', 'VBP', 'DT', 'VBG', 'NN', '.']",present simple
"['VBP', 'RB', 'VB', 'PRP', 'IN', 'VBG', '.']",present simple
"['NN', '.']",present simple
"['NN', 'IN', 'PRP', 'VBP', ',', 'VBP', 'IN', 'PRP', 'VBP', '.']",present simple
"['VBP', 'RB', 'VB', 'PRP', 'IN', 'PRP', 'VBP', 'VBG', '.']",present simple
"['NN', 'PRP', ',', 'VB', '.']",present simple
"['VB', 'PRP', 'VB', 'PRP$', 'NN', 'NN', 'NN', '.']",present simple
"['DT', 'NNS', 'VBD', 'VBN', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'DT', 'JJ', 'NN', '.']",present simple
"['NNP', 'RB', 'VB', 'IN', 'VBG', '.']",present simple
"['NNP', 'VBZ', 'DT', 'JJ', 'NN', '.']",present simple
"['PRP$', 'NN', 'VBZ', 'RP', '.']",present simple
"['PRP$', 'NN', 'RB', 'VBZ', 'NN', 'NNS', 'IN', 'PRP', '.']",present simple
"['VB', 'PRP', 'VB', 'DT', 'NN', '.']",present simple
"['VB', 'PRP', 'VB', '.', 'PRP', 'VBP', 'VBG', 'PRP', '.']",present simple
"['NNS', 'VBP', 'JJ', '.']",present simple
"['VB', 'PRP$', 'NN', 'CC', 'NN', 'IN', 'DT', 'NN', '.']",present simple
"['VB', 'PRP$', 'NN', 'IN', '.']",present simple
"['VB', 'PRP$', 'NN', '.']",present simple
"['VB', 'RP', 'PRP$', 'NN', '.']",present simple
"['VBP', 'RB', 'VB', 'TO', 'VB', 'DT', 'NN', '.']",present simple
"['VBP', 'RB', 'VB', 'TO', 'VB', 'DT', 'NN', 'TO', 'DT', 'NN', '.']",present simple
"['VBP', 'RB', 'VB', 'TO', 'VB', 'DT', 'NN', '.']",present simple
"['VB', 'JJ', 'TO', 'VB', 'NN', 'NN', '.']",present simple
"['VBP', 'RB', 'VB', 'TO', 'VB', 'PRP', 'IN', 'DT', 'NN', '.']",present simple
"['NNP', 'TO', 'VB', 'PRP', 'IN', 'DT', 'NN', '.']",present simple
"['VBP', 'RB', 'VB', 'TO', 'VB', 'PRP', 'IN', '.']",present simple
"['VBP', 'RB', 'VB', 'TO', 'VB', 'PRP', 'IN', '.']",present simple
"['VBP', 'RB', 'VB', 'TO', 'VB', 'WRB', 'JJ', 'NNS', 'VBP', '.']",present simple
"['VBP', 'RB', 'VB', 'TO', 'VB', 'PRP$', 'NN', '.']",present simple
"['VBP', 'RB', 'VB', 'TO', 'VB', 'PRP', '.']",present simple
"['VBP', 'RB', 'VB', 'TO', 'VB', 'PRP', 'RP', 'IN', 'CD', 'NN', 'NN', '.']",present simple
